"OverallQual";"YearBuilt";"YearRemodAdd";"MasVnrArea";"Foundation";"BsmtFinType1";"BsmtFinSF1";"TotalBsmtSF";"HeatingQC";"1stFlrSF";"2ndFlrSF";"GrLivArea";"FullBath";"Fireplaces";"FireplaceQu";"GarageCars";"GarageArea";"WoodDeckSF";"OpenPorchSF";"SaleType";"SaleCondition";"SalePrice"
5;1947;1950;0;"CBlock";"LwQ";312;720;"TA";720;564;1284;1;0;"NA";1;240;0;35;"WD";"Normal";110000
7;1990;1990;0;"PConc";"Unf";0;1424;"Ex";1442;0;1442;2;0;"NA";2;500;0;34;"WD";"Normal";180500
5;1962;1962;0;"CBlock";"Unf";0;1140;"TA";1696;0;1696;1;1;"TA";1;349;0;30;"WD";"Normal";143900
4;1960;1960;0;"PConc";"ALQ";419;1100;"TA";1100;0;1100;1;1;"Po";1;312;355;0;"WD";"Normal";141000
7;1988;1989;128;"CBlock";"GLQ";1065;1157;"Ex";1180;882;2062;2;1;"Gd";2;454;60;55;"WD";"Normal";277000
6;1964;1964;260;"CBlock";"Rec";787;1092;"Ex";1092;0;1092;1;0;"NA";2;504;0;0;"WD";"Normal";145000
5;1925;1950;0;"CBlock";"Rec";468;864;"TA";864;0;864;1;0;"NA";0;0;0;0;"WD";"Normal";98000
6;2009;2009;0;"PConc";"GLQ";36;1212;"Ex";1212;0;1212;2;0;"NA";2;460;100;22;"WD";"Normal";186000
7;2009;2009;0;"PConc";"GLQ";822;900;"Ex";932;920;1852;2;1;"TA";2;644;168;108;"New";"Partial";252678
5;1995;1995;0;"PConc";"ALQ";716;990;"Ex";990;0;990;1;0;"NA";2;576;224;0;"WD";"Normal";156000
6;1977;1977;153;"CBlock";"GLQ";378;689;"Ex";689;703;1392;1;0;"NA";1;299;0;36;"WD";"Normal";161750
5;1957;1996;64;"CBlock";"BLQ";360;1070;"TA";1236;0;1236;1;1;"Fa";1;447;0;0;"WD";"Normal";134450
7;2004;2004;266;"PConc";"GLQ";946;1436;"Ex";1436;0;1436;2;0;"NA";2;484;139;98;"WD";"Normal";210000
4;1925;1950;0;"CBlock";"Unf";0;686;"Fa";810;518;1328;1;0;"NA";1;210;0;172;"WD";"Family";107000
7;1939;2006;312;"CBlock";"BLQ";341;798;"Ex";1137;817;1954;1;2;"TA";2;431;0;119;"WD";"Normal";311500
7;2005;2006;16;"PConc";"GLQ";16;1248;"Ex";1248;0;1248;2;0;"NA";2;438;108;0;"New";"Partial";167240
7;2006;2006;0;"PConc";"Unf";0;1498;"Ex";1498;0;1498;2;0;"NA";2;675;351;33;"New";"Partial";204900
6;2002;2002;0;"PConc";"Unf";0;1010;"Ex";1010;1257;2267;2;1;"TA";2;390;120;46;"ConLI";"Normal";200000
6;1975;1975;0;"CBlock";"ALQ";550;713;"TA";811;741;1552;2;1;"TA";2;434;209;208;"WD";"Normal";179900
4;1971;1971;0;"CBlock";"ALQ";524;864;"Gd";864;0;864;1;0;"NA";2;576;216;0;"WD";"Abnorml";97000
10;2003;2003;922;"PConc";"GLQ";56;2392;"Ex";2392;0;2392;2;1;"Ex";3;968;248;105;"WD";"Normal";386250
5;1971;1971;142;"CBlock";"Unf";0;630;"TA";630;672;1302;2;0;"NA";1;280;0;0;"COD";"Abnorml";112000
7;1995;1995;290;"PConc";"GLQ";565;1203;"Ex";1214;1306;2520;2;1;"TA";3;721;224;114;"WD";"Abnorml";290000
6;1970;1970;127;"CBlock";"Rec";321;483;"TA";483;504;987;1;0;"NA";1;280;0;0;"WD";"Normal";106000
5;1967;1967;0;"CBlock";"ALQ";842;912;"TA";912;0;912;1;1;"Fa";1;336;0;0;"WD";"Normal";125000
7;2005;2006;16;"PConc";"GLQ";16;1373;"Ex";1555;0;1555;2;1;"TA";2;430;143;20;"WD";"Normal";192500
6;1959;1959;220;"CBlock";"Unf";0;1194;"TA";1194;0;1194;1;0;"NA";1;312;0;0;"WD";"Normal";148000
8;1995;1996;506;"PConc";"GLQ";689;1462;"Ex";1490;1304;2794;2;1;"TA";3;810;0;146;"WD";"Normal";403000
6;1972;1972;297;"CBlock";"Unf";0;483;"TA";483;504;987;1;1;"Po";1;288;0;0;"WD";"Normal";94500
5;1976;1976;0;"CBlock";"LwQ";182;894;"TA";894;0;894;1;0;"NA";1;308;365;0;"WD";"Normal";128200
6;2002;2002;104;"PConc";"GLQ";625;860;"Ex";860;1100;1960;2;2;"TA";2;440;288;48;"WD";"Normal";216500
6;1971;1971;604;"CBlock";"ALQ";358;483;"TA";483;504;987;1;0;"NA";1;264;0;0;"WD";"Normal";89500
7;2004;2004;98;"PConc";"GLQ";24;1414;"Ex";1414;0;1414;2;0;"NA";2;494;132;105;"WD";"Normal";185500
7;1993;2003;0;"PConc";"BLQ";402;996;"Ex";1014;730;1744;2;0;"NA";2;457;370;70;"WD";"Normal";194500
8;2007;2007;254;"PConc";"Unf";0;1694;"Ex";1694;0;1694;2;0;"NA";3;818;168;228;"New";"Partial";318000
6;1945;1950;0;"CBlock";"LwQ";94;735;"TA";798;689;1487;1;1;"Gd";1;220;0;140;"WD";"Normal";113000
8;2008;2008;36;"PConc";"GLQ";1078;1566;"Ex";1566;0;1566;2;0;"NA";2;750;144;168;"WD";"Normal";262500
5;1945;1997;0;"CBlock";"ALQ";329;686;"Gd";866;0;866;1;0;"NA";0;0;58;42;"WD";"Normal";110500
5;1900;1950;0;"BrkTil";"Unf";0;540;"Gd";889;551;1440;1;0;"NA";1;352;0;0;"WD";"Normal";79000
6;1980;1980;0;"CBlock";"Unf";0;626;"TA";626;591;1217;1;1;"TA";1;288;0;28;"WD";"Normal";120000
7;1994;2002;0;"PConc";"GLQ";695;948;"Ex";1222;888;2110;2;2;"Fa";2;463;0;130;"WD";"Normal";205000
7;1988;1988;102;"CBlock";"GLQ";929;1845;"Gd";1872;0;1872;2;1;"TA";2;604;197;39;"WD";"Normal";241500
6;1910;1950;0;"Stone";"Unf";0;1020;"Gd";908;1020;1928;2;0;"NA";1;440;0;60;"WD";"Normal";137000
6;1954;1954;0;"CBlock";"Unf";0;1367;"Ex";1375;0;1375;1;1;"TA";2;451;0;30;"WD";"Normal";140000
7;2003;2003;101;"PConc";"Unf";0;840;"Ex";840;828;1668;2;0;"NA";2;500;144;68;"WD";"Normal";180000
6;1958;2006;472;"CBlock";"Rec";697;1444;"Gd";1444;700;2144;2;2;"TA";2;389;0;98;"WD";"Normal";277000
3;1940;1966;0;"CBlock";"Unf";0;728;"Ex";1306;0;1306;1;0;"NA";0;0;263;0;"WD";"Normal";76500
8;2006;2007;481;"PConc";"GLQ";1573;1573;"Ex";1625;0;1625;2;1;"Gd";2;538;123;0;"WD";"Family";235000
6;2004;2004;0;"PConc";"Unf";0;798;"Ex";798;842;1640;2;0;"NA";2;520;138;45;"WD";"Normal";173000
6;1964;1991;108;"CBlock";"LwQ";270;1302;"Ex";1302;0;1302;2;0;"NA";1;309;333;0;"CWD";"Normal";158000
5;1957;1957;0;"CBlock";"Rec";922;1314;"TA";1314;0;1314;1;0;"NA";1;294;250;0;"WD";"Normal";145000
7;1999;1999;302;"PConc";"Unf";0;975;"Ex";1005;1286;2291;2;1;"TA";2;429;192;0;"WD";"Normal";230000
6;2003;2003;0;"PConc";"Rec";503;864;"Ex";864;864;1728;2;0;"NA";2;673;216;56;"WD";"Normal";207500
7;2006;2006;180;"PConc";"GLQ";1334;1604;"Ex";1604;0;1604;2;1;"Gd";2;660;123;110;"WD";"Abnorml";220000
7;2001;2001;172;"PConc";"GLQ";361;963;"Ex";963;829;1792;2;1;"TA";2;564;0;96;"WD";"Normal";231500
5;1956;1956;0;"PConc";"NA";0;0;"Gd";882;0;882;1;0;"NA";1;308;0;45;"WD";"Normal";97000
6;1962;1962;399;"CBlock";"Rec";672;1362;"TA";1382;0;1382;1;1;"TA";2;884;0;0;"WD";"Normal";176000
8;2007;2007;270;"PConc";"Unf";0;1482;"Ex";1482;1092;2574;2;1;"Gd";3;868;0;148;"New";"Partial";276000
6;1977;1995;46;"CBlock";"ALQ";506;506;"TA";1212;0;1212;1;1;"TA";2;492;292;12;"WD";"Normal";151000
5;1929;2001;0;"BrkTil";"LwQ";234;926;"TA";926;0;1316;1;0;"NA";2;484;0;0;"WD";"Normal";130000
5;1925;2004;0;"BrkTil";"Unf";0;680;"Gd";764;0;764;1;0;"NA";2;504;0;0;"WD";"Normal";73000
6;1981;1981;210;"CBlock";"GLQ";588;1422;"TA";1422;0;1422;2;1;"TA";2;576;276;0;"WD";"Normal";175500
6;1997;1997;0;"PConc";"GLQ";714;802;"Gd";802;709;1511;2;1;"TA";2;413;95;75;"WD";"Normal";185000
5;1939;1997;0;"PConc";"LwQ";378;720;"Ex";1052;720;2192;2;1;"Gd";1;240;262;24;"WD";"Normal";179500
5;1940;1955;0;"CBlock";"ALQ";403;740;"Ex";778;0;778;1;1;"Gd";1;924;0;25;"WD";"Normal";120500
6;1976;1976;174;"CBlock";"BLQ";751;1143;"TA";1113;0;1113;1;1;"Fa";1;504;370;30;"WD";"Normal";148000
8;2006;2006;0;"PConc";"Unf";0;1095;"Gd";1095;844;1939;2;1;"Gd";3;1053;192;51;"New";"Partial";266000
7;1954;2005;0;"CBlock";"LwQ";226;1385;"Ex";1363;0;1363;1;2;"TA";2;439;81;0;"WD";"Normal";241500
8;1999;2007;348;"PConc";"GLQ";524;1152;"Ex";1164;1106;2270;2;1;"Gd";3;671;132;57;"WD";"Normal";290000
6;1958;1988;183;"CBlock";"Rec";620;1240;"Gd";1632;0;1632;2;1;"Gd";1;338;289;0;"WD";"Normal";139000
5;1982;1982;0;"CBlock";"ALQ";546;816;"TA";816;0;816;1;0;"NA";1;264;168;0;"WD";"Normal";124500
7;1925;2007;0;"BrkTil";"Unf";0;952;"Gd";952;596;1548;2;0;"NA";2;672;74;0;"WD";"Normal";205000
7;2003;2003;0;"PConc";"Unf";0;1560;"Ex";1560;0;1560;2;0;"NA";2;573;100;150;"WD";"Normal";201000
4;1951;1951;0;"CBlock";"LwQ";120;864;"Ex";864;0;864;1;0;"NA";2;400;0;0;"WD";"Normal";141000
9;2006;2007;315;"PConc";"Unf";0;2121;"Ex";2121;0;2121;2;1;"Ex";3;732;124;98;"New";"Partial";415298
7;1977;1977;299;"CBlock";"BLQ";392;1160;"Ex";1156;866;2022;2;1;"TA";2;505;288;117;"WD";"Normal";192000
7;1989;1989;340;"CBlock";"GLQ";421;807;"Gd";1175;807;1982;2;1;"TA";2;575;0;84;"WD";"Normal";228500
6;2006;2006;68;"PConc";"GLQ";905;1262;"Gd";1262;0;1262;2;0;"NA";2;572;0;120;"New";"Partial";185000
7;2007;2008;166;"PConc";"GLQ";904;1314;"Ex";1314;0;1314;2;1;"Gd";2;626;172;62;"ConLw";"Normal";207500
8;2008;2009;72;"PConc";"Unf";0;1468;"Ex";1468;0;1468;2;1;"Gd";3;898;210;150;"New";"Partial";244600
6;1992;1992;0;"PConc";"GLQ";430;1575;"Gd";1575;0;1575;2;0;"NA";2;529;0;0;"WD";"Normal";179200
7;2006;2007;0;"PConc";"Unf";0;625;"Ex";625;625;1250;2;0;"NA";2;528;0;54;"New";"Partial";164700
6;1962;1981;0;"CBlock";"Rec";600;912;"TA";1085;649;1734;1;1;"Gd";2;440;0;0;"WD";"Normal";159000
4;1971;1971;0;"CBlock";"BLQ";614;858;"TA";858;0;858;1;0;"NA";0;0;0;0;"WD";"Normal";88000
5;1967;1967;31;"CBlock";"BLQ";450;882;"TA";900;0;900;1;0;"NA";1;280;0;0;"WD";"Normal";122000
6;1915;2003;0;"BrkTil";"Unf";0;698;"Ex";698;698;1396;1;0;"NA";1;384;0;0;"WD";"Normal";153575
8;2006;2006;0;"PConc";"Unf";0;1079;"Ex";1079;840;1919;2;1;"Gd";2;685;0;51;"New";"Partial";233230
5;1912;2000;0;"PConc";"Rec";210;780;"Ex";936;780;1716;2;0;"NA";0;0;0;184;"WD";"Normal";135900
5;1949;2008;0;"CBlock";"LwQ";292;768;"Gd";1148;568;1716;1;1;"Gd";1;281;0;0;"WD";"Normal";131000
7;1977;1994;34;"CBlock";"ALQ";795;795;"Fa";1468;795;2263;2;1;"TA";2;539;0;250;"WD";"Normal";235000
6;1953;1953;238;"CBlock";"GLQ";1285;1416;"TA";1644;0;1644;1;2;"Gd";2;418;110;0;"WD";"Normal";167000
6;1984;1984;0;"CBlock";"GLQ";819;1003;"TA";1003;0;1003;1;0;"NA";2;588;120;0;"WD";"Normal";142500
5;1950;1950;0;"CBlock";"BLQ";420;910;"TA";910;648;1558;1;0;"NA";1;282;289;0;"WD";"Normal";152000
7;1997;1998;1600;"PConc";"BLQ";649;975;"Ex";975;975;1950;2;1;"TA";2;576;0;10;"WD";"Normal";239000
6;1968;1968;365;"CBlock";"ALQ";384;702;"Gd";1041;702;1743;1;1;"Gd";2;539;224;0;"WD";"Normal";175000
6;1950;2004;0;"CBlock";"Unf";0;1092;"Ex";1152;0;1152;1;1;"Gd";1;300;0;36;"WD";"Family";158500
5;1953;1953;56;"CBlock";"BLQ";841;1165;"TA";1336;0;1336;1;2;"Gd";1;375;0;0;"WD";"Normal";157000
8;1998;1999;0;"PConc";"GLQ";281;1028;"Ex";1210;1242;2452;2;1;"TA";2;683;208;50;"WD";"Normal";267000
7;2001;2002;150;"PConc";"Unf";0;1541;"Ex";1541;0;1541;2;1;"TA";3;843;468;81;"WD";"Normal";205000
5;1972;1972;0;"PConc";"ALQ";894;894;"TA";894;0;894;1;0;"NA";2;552;256;0;"WD";"Abnorml";149900
7;1880;2002;0;"BrkTil";"Unf";0;1470;"Ex";1675;1818;3493;3;1;"Ex";3;870;302;0;"WD";"Normal";295000
8;2004;2005;246;"PConc";"GLQ";1464;2000;"Ex";2000;0;2000;2;0;"NA";3;888;168;0;"WD";"Normal";305900
7;1990;1991;246;"CBlock";"ALQ";700;700;"Gd";1122;1121;2243;2;1;"TA";3;746;127;44;"WD";"Normal";225000
6;1920;1950;0;"CBlock";"Unf";0;319;"TA";1035;371;1406;1;0;"NA";0;0;0;144;"WD";"Normal";89500
4;1940;1950;0;"CBlock";"BLQ";262;861;"Ex";861;0;861;1;0;"NA";2;539;158;0;"WD";"Normal";82500
9;2003;2004;0;"PConc";"GLQ";1274;1896;"Ex";1944;0;1944;2;3;"Ex";3;708;208;175;"WD";"Normal";360000
6;1993;1994;112;"PConc";"ALQ";518;697;"Gd";697;804;1501;2;1;"TA";2;420;190;63;"WD";"Normal";165600
6;1948;2002;0;"CBlock";"ALQ";680;972;"Ex";972;0;972;1;1;"Gd";1;240;0;0;"WD";"Normal";132000
5;1939;1950;0;"CBlock";"Rec";507;793;"TA";793;325;1118;1;1;"Gd";2;410;0;0;"WD";"Normal";119900
7;1965;1965;0;"CBlock";"ALQ";1236;2136;"TA";2036;0;2036;2;2;"Gd";2;513;0;0;"WD";"Normal";375000
7;1925;1990;0;"BrkTil";"LwQ";16;728;"Ex";832;809;1641;1;1;"Gd";2;546;0;0;"WD";"Normal";178000
7;2004;2005;0;"PConc";"GLQ";425;716;"Ex";716;716;1432;2;1;"Gd";2;432;100;51;"WD";"Normal";188500
7;1980;1980;278;"CBlock";"GLQ";692;845;"TA";1153;1200;2353;2;1;"TA";2;484;288;195;"WD";"Normal";260000
8;2006;2006;0;"PConc";"Unf";0;1088;"Ex";1088;871;1959;2;1;"Gd";3;1025;208;46;"WD";"Normal";270000
7;1993;1993;256;"PConc";"GLQ";987;1347;"Ex";1372;1274;2646;2;1;"TA";3;656;340;60;"WD";"Normal";260000
7;1980;1980;225;"CBlock";"GLQ";1036;1372;"TA";1472;0;1472;2;2;"TA";2;588;233;48;"WD";"Normal";187500
9;2006;2006;370;"PConc";"Unf";0;1249;"Ex";1249;1347;2596;3;0;"NA";3;840;240;154;"New";"Partial";342643
8;2004;2004;388;"PConc";"GLQ";970;1136;"Ex";1136;1332;2468;2;1;"Gd";3;872;184;154;"WD";"Normal";354000
7;1986;1987;172;"CBlock";"LwQ";28;1502;"Ex";1553;1177;2730;2;1;"TA";2;576;201;96;"WD";"Normal";301000
3;1955;2005;0;"CBlock";"ALQ";256;1162;"Ex";1163;0;1163;1;0;"NA";1;220;142;98;"WD";"Normal";126175
7;1967;2007;300;"CBlock";"Unf";0;710;"Ex";1898;1080;2978;2;1;"Gd";2;564;240;0;"WD";"Normal";242000
5;1941;1950;0;"CBlock";"BLQ";116;720;"Po";803;0;803;1;0;"NA";2;360;0;0;"WD";"Normal";87000
8;1993;1993;0;"PConc";"GLQ";1619;1719;"Ex";1719;0;1719;1;2;"Gd";2;473;122;30;"Con";"Normal";324000
6;1960;1960;175;"CBlock";"Rec";565;1383;"TA";1383;0;1383;1;0;"NA";1;292;0;45;"WD";"Normal";145250
6;1916;1994;0;"BrkTil";"Unf";0;844;"Gd";1445;689;2134;2;0;"NA";2;441;0;60;"WD";"Normal";214500
5;1920;1950;0;"PConc";"Unf";0;596;"TA";596;596;1192;1;0;"NA";1;189;0;0;"WD";"Normal";78000
5;1964;1964;84;"CBlock";"GLQ";40;1728;"TA";1728;0;1728;2;0;"NA";1;352;155;0;"WD";"Normal";119000
5;1958;1992;0;"CBlock";"Rec";846;1056;"Fa";1056;0;1056;1;0;"NA";1;308;0;0;"WD";"Normal";139000
8;2003;2004;296;"PConc";"GLQ";1124;3206;"Ex";1629;0;1629;2;1;"Gd";3;880;0;0;"WD";"Normal";284000
7;2004;2004;146;"PConc";"GLQ";720;1358;"Ex";1358;0;1358;2;1;"Gd";2;484;192;30;"WD";"Normal";207000
6;1998;1998;0;"PConc";"GLQ";828;943;"Gd";943;695;1638;2;2;"TA";2;472;100;38;"WD";"Normal";192000
5;1965;1965;0;"CBlock";"ALQ";1249;1499;"Ex";1619;167;1786;2;2;"Gd";2;529;670;0;"WD";"Normal";228950
9;2005;2006;200;"PConc";"GLQ";1249;1922;"Ex";1922;0;1922;2;1;"Gd";3;676;178;51;"WD";"Normal";377426
7;2002;2003;113;"PConc";"GLQ";810;1536;"Ex";1536;0;1536;2;0;"NA";2;532;192;74;"WD";"Normal";214000
7;1984;1998;0;"CBlock";"ALQ";213;1208;"Ex";1621;0;1621;2;0;"NA";2;440;108;45;"WD";"Normal";202500
6;1958;1998;176;"CBlock";"Rec";585;1215;"TA";1215;0;1215;1;0;"NA";1;297;0;0;"WD";"Normal";155000
8;2002;2002;0;"PConc";"Unf";0;967;"Ex";993;915;1908;2;0;"NA";2;431;135;0;"WD";"Normal";202900
4;1950;1950;0;"CBlock";"Unf";0;721;"Gd";841;0;841;1;0;"NA";1;294;250;0;"WD";"Normal";82000
3;1949;1950;340;"Slab";"NA";0;0;"Fa";1040;0;1040;2;0;"NA";2;400;0;0;"WD";"Normal";87500
9;2005;2005;616;"PConc";"GLQ";28;1684;"Ex";1684;0;1684;2;1;"Ex";2;564;495;72;"WD";"Normal";266000
5;1976;1976;0;"CBlock";"Rec";129;536;"TA";536;576;1112;1;0;"NA";1;336;182;0;"WD";"Normal";85000
6;1939;1950;0;"BrkTil";"Unf";0;972;"Gd";972;605;1577;1;1;"Gd";1;312;0;0;"WD";"Normal";140200
6;1960;1998;0;"CBlock";"BLQ";498;958;"TA";958;0;958;1;0;"NA";1;301;0;0;"WD";"Normal";151500
6;1960;1960;30;"CBlock";"BLQ";1270;1478;"Ex";1478;0;1478;2;2;"Gd";2;498;0;40;"WD";"Normal";157500
7;2003;2004;106;"PConc";"GLQ";573;764;"Ex";764;862;1626;2;0;"NA";2;474;0;27;"WD";"Normal";154000
9;2005;2006;870;"PConc";"GLQ";1410;1848;"Ex";1848;880;2728;2;2;"Ex";3;706;0;0;"New";"Partial";437154
9;2007;2007;362;"PConc";"Unf";0;1869;"Ex";1869;0;1869;2;1;"Gd";2;617;210;54;"New";"Partial";318061
7;1986;1986;0;"PConc";"GLQ";1082;1453;"Gd";1453;0;1453;1;1;"TA";2;445;0;80;"WD";"Abnorml";190000
5;1941;1950;0;"CBlock";"LwQ";236;616;"TA";616;495;1111;1;0;"NA";1;200;48;0;"ConLw";"Normal";95000
6;1928;2003;0;"BrkTil";"Unf";0;624;"Gd";720;0;720;1;0;"NA";2;484;106;0;"WD";"Normal";105900
6;1940;2000;0;"CBlock";"LwQ";388;940;"Ex";1192;403;1595;1;2;"Gd";1;240;0;0;"WD";"Normal";140000
6;1995;1995;0;"PConc";"ALQ";334;1200;"Ex";1200;0;1200;2;0;"NA";2;521;0;26;"WD";"Normal";177500
6;1992;1992;106;"PConc";"GLQ";560;1158;"Gd";1167;0;1167;2;0;"NA";2;400;120;26;"WD";"Normal";173000
5;1976;1976;0;"PConc";"ALQ";874;1142;"TA";1142;0;1142;1;1;"Po";2;528;536;90;"WD";"Normal";134000
5;1958;1958;120;"CBlock";"BLQ";300;1062;"Ex";1352;0;1352;1;0;"NA";1;288;168;0;"WD";"Abnorml";130000
8;1998;1998;530;"PConc";"GLQ";956;1086;"Ex";1086;838;1924;2;1;"TA";2;592;208;75;"WD";"Normal";280000
6;1978;1978;0;"CBlock";"GLQ";773;888;"Ex";912;0;912;1;1;"TA";2;470;0;0;"WD";"Normal";156000
5;1940;1982;0;"CBlock";"Rec";399;883;"Gd";988;517;1505;1;0;"NA";1;240;0;0;"WD";"Normal";145000
7;2003;2003;500;"Slab";"NA";0;0;"Ex";495;1427;1922;3;1;"Ex";2;672;0;0;"ConLD";"Normal";198500
6;1972;2007;510;"CBlock";"ALQ";162;483;"Gd";483;504;987;1;0;"NA";1;264;250;0;"WD";"Normal";118000
6;1976;1976;120;"PConc";"GLQ";712;796;"TA";790;784;1574;2;1;"TA";2;566;306;111;"WD";"Normal";190000
5;1920;1997;0;"CBlock";"Rec";456;672;"Gd";672;672;1344;1;0;"NA";1;468;0;128;"WD";"Normal";147000
6;1963;1963;247;"CBlock";"BLQ";609;1394;"Gd";1394;0;1394;1;2;"Gd";2;514;0;76;"WD";"Normal";159000
6;1962;1962;305;"CBlock";"GLQ";371;1099;"Gd";1431;0;1431;1;1;"Gd";1;296;64;110;"WD";"Normal";165000
5;1954;1954;200;"PConc";"LwQ";540;1268;"Gd";1268;0;1268;1;1;"Gd";1;244;0;98;"WD";"Normal";132000
5;1959;2006;0;"CBlock";"ALQ";72;1063;"Ex";1287;0;1287;1;1;"Gd";2;576;364;17;"WD";"Normal";162000
6;2000;2000;0;"PConc";"Unf";0;953;"Ex";953;711;1664;2;1;"TA";2;460;100;40;"WD";"Normal";172400
4;1959;1959;0;"CBlock";"NA";0;0;"TA";1120;468;1588;2;1;"Gd";2;680;0;59;"WD";"Normal";134432
6;1984;1984;0;"CBlock";"ALQ";623;744;"TA";752;0;752;1;0;"NA";1;264;353;0;"WD";"Normal";125000
5;1953;1953;0;"PConc";"BLQ";428;608;"TA";1319;0;1319;1;0;"NA";1;270;66;0;"WD";"Normal";123000
7;2003;2004;0;"PConc";"Unf";0;847;"Ex";847;1081;1928;2;1;"Gd";2;434;100;48;"WD";"Normal";219500
1;1922;1950;0;"BrkTil";"BLQ";350;683;"Gd";904;0;904;0;0;"NA";0;0;0;0;"WD";"Normal";61000
5;1996;1996;0;"PConc";"GLQ";298;870;"Ex";914;0;914;1;0;"NA";2;576;0;0;"WD";"Normal";148000
8;2004;2005;0;"PConc";"Unf";0;1580;"Ex";1580;886;2466;3;1;"Gd";2;610;159;214;"WD";"Normal";340000
9;2010;2010;350;"PConc";"GLQ";1445;1856;"Ex";1856;0;1856;1;1;"Ex";3;834;113;0;"New";"Partial";394432
6;2000;2000;16;"PConc";"Unf";0;982;"Ex";1007;793;1800;2;1;"TA";2;463;100;63;"WD";"Normal";179000
5;1924;1950;0;"BrkTil";"LwQ";218;1026;"TA";1026;665;1691;2;1;"Gd";1;308;0;0;"WD";"Normal";127000
7;2006;2006;0;"PConc";"Unf";0;1293;"Ex";1301;0;1301;2;1;"Gd";2;572;216;121;"New";"Partial";187750
7;2006;2006;0;"PConc";"Unf";0;939;"Ex";939;858;1797;2;0;"NA";2;639;144;53;"WD";"Normal";213500
6;1928;1950;0;"BrkTil";"Unf";0;784;"TA";784;0;784;1;0;"NA";2;360;0;0;"WD";"Normal";76000
6;1992;1992;0;"PConc";"GLQ";985;1580;"Ex";1079;874;1953;2;2;"Fa";2;501;216;231;"WD";"Normal";240000
8;2004;2005;16;"PConc";"GLQ";24;1256;"Ex";1269;0;1269;2;1;"TA";2;430;146;20;"WD";"Normal";192000
5;1910;1996;0;"PConc";"Unf";0;658;"TA";658;526;1184;1;0;"NA";0;0;0;151;"WD";"AdjLand";81000
6;1976;1976;255;"CBlock";"ALQ";631;1041;"Ex";1125;0;1125;1;1;"Fa";1;352;296;0;"WD";"Abnorml";125000
7;1999;2000;125;"PConc";"Unf";0;1468;"Ex";1479;0;1479;2;0;"NA";2;577;120;25;"WD";"Normal";191000
10;2007;2008;272;"PConc";"GLQ";1280;1682;"Ex";1742;590;2332;2;1;"Ex";3;846;196;134;"New";"Partial";426000
5;1900;1950;0;"BrkTil";"Rec";241;861;"Ex";961;406;1367;1;0;"NA";1;384;0;130;"WD";"Normal";119000
6;2001;2002;0;"PConc";"ALQ";690;804;"Ex";804;1157;1961;2;1;"TA";2;560;125;192;"WD";"Normal";215000
5;1959;1959;0;"Slab";"NA";0;0;"TA";882;0;882;1;0;"NA";1;294;0;0;"WD";"Normal";106500
4;1941;1950;0;"CBlock";"Rec";266;788;"TA";788;0;788;1;2;"TA";0;0;0;0;"WD";"Abnorml";100000
5;1940;1950;0;"CBlock";"Unf";0;735;"Gd";735;299;1034;1;0;"NA";1;240;0;39;"WD";"Normal";109000
5;1956;1956;0;"CBlock";"BLQ";739;1144;"TA";1144;0;1144;1;0;"NA";1;596;44;0;"WD";"Normal";129000
5;1972;1972;0;"CBlock";"Rec";777;894;"TA";894;0;894;1;0;"NA";2;600;215;0;"WD";"Normal";123000
5;1962;1962;288;"CBlock";"ALQ";540;864;"TA";876;936;1812;2;1;"TA";1;264;0;168;"WD";"Normal";169500
5;1920;1950;0;"BrkTil";"Unf";0;961;"Gd";1077;0;1077;1;0;"NA";1;338;0;0;"WD";"Abnorml";67000
7;2006;2007;100;"PConc";"GLQ";812;1092;"Ex";1112;438;1550;2;0;"NA";2;438;0;168;"WD";"Normal";241000
8;1996;1996;0;"PConc";"GLQ";786;1260;"Ex";1288;0;1288;1;2;"Gd";2;500;120;30;"WD";"Normal";245500
7;2005;2005;0;"PConc";"GLQ";24;1310;"Ex";1310;0;1310;2;1;"Gd";2;400;0;0;"New";"Partial";164990
5;1940;1997;0;"PConc";"Unf";0;672;"Ex";672;0;672;1;0;"NA";1;240;168;0;"WD";"Normal";108000
8;1998;1998;650;"PConc";"Unf";0;1141;"Gd";1165;1098;2263;2;1;"TA";2;420;144;123;"WD";"Abnorml";258000
6;1995;1996;0;"PConc";"Unf";0;806;"Gd";806;766;1572;2;1;"TA";2;373;0;40;"WD";"Normal";168000
4;1976;1993;0;"CBlock";"BLQ";1116;1281;"Ex";1620;0;1620;2;1;"TA";2;490;120;78;"WD";"Normal";150000
6;1936;1950;0;"BrkTil";"Unf";0;1064;"Ex";1166;0;1639;1;0;"NA";1;240;0;0;"WD";"Normal";115000
6;1915;1976;0;"BrkTil";"Unf";0;840;"Ex";840;840;1680;2;0;"NA";1;308;0;0;"WD";"Normal";177000
7;2006;2006;350;"PConc";"Unf";0;1063;"Ex";1071;1101;2172;2;1;"Gd";3;947;192;62;"New";"Partial";280000
8;2007;2008;100;"PConc";"GLQ";789;1034;"Ex";1050;1028;2078;2;1;"Gd";3;836;0;102;"New";"Partial";339750
5;1958;1958;0;"CBlock";"Unf";0;1276;"TA";1276;0;1276;1;0;"NA";1;350;0;0;"COD";"Abnorml";60000
